folksong,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class,Country
sioux012,0.894898591390751,0.654880952380952,0.0145442736932099,140.612732071995,0.125270807623749,310.133883682031,16,0.583098574514038,5.48657487986477,9,2.05633802816901,2.0555661294826,6,0.644789221599399,1.875,12,4,0.524230060819962,0.253521126760563,0.197183098591549,0.112676056338028,72,35.5,2.02816901408451,0.733203089208304,1.02258576456715,0.217827303772566,2.35832250039596,3.29358242013157,0.421052631578947,5.36899962205716,-0.516176057083792,1.54285714285714,major,descending,-1,babc,sioux
sioux013,0.711421982859992,0.139888096590312,0.0290310991840169,260.702982226876,0.510909090909091,352.552518524864,19,0.63565153274395,6.08369189726595,5,0.954545454545455,1.4404253451065,4,0.377841959573169,2.75,2,2,0.368986840307407,0.5,0.136363636363636,0,67,57.5,1.16521739130435,0.786624275870697,1.20969154176969,0.206454724431139,0.330434782608696,0.169715794293897,0,6.03963248002949,-0.898802106875925,0.7875,minor,descending,-1,cccc,sioux
sioux014,0.830018598468516,0.543744479205006,0.022189538541416,200.238515987819,0.140249635947576,270.379046482427,17,0.590146677108801,4.55783693773926,5,1.04081632653061,1.54055162838767,5,0.458593827545937,1.875,2,1,0.521476132782354,0.285714285714286,0.224489795918367,0.142857142857143,50,18,2.77777777777778,0.831702100173194,1.24380102260412,0.178412366472777,1.58633856293431,2.70788091565284,0.8,4.43097592331116,-0.952863906416858,0.603448275862069,minor,descending,-1,cccc,sioux
sioux015,0.757713849550295,0.298180690140616,0.0208932918751417,189.814019632129,0.193449197860963,356.242579039777,10,0.434095685573709,3.01821290971675,5,0.829268292682927,1.36811015050708,4,0.338827700062912,1.875,2,2,0.474020534394585,0.341463414634146,0.170731707317073,0.0853658536585366,83,26.5,3.13207547169811,0.819810022567887,1.60044392231148,0.198331379575386,0.380153738644305,0.648274436285636,0,3.15712456984597,-0.663530213604331,0.909090909090909,minor,descending,-1,cccc,sioux
sioux016,0.660496083657577,0.283806646095757,0.0225122198858088,175.885529158016,0.0762727272727273,326.259018577862,12,0.385683659904491,3.09121562416596,5,0.626666666666667,1.48663717499936,4,0.221790832893791,1.75,6,3,0.588294454357602,0.266666666666667,0.12,0.0533333333333333,76,32,2.375,0.815947402004001,1.05096903045668,0.207592281929917,0.220172525443106,0.24681400835016,0,2.93909813928362,-0.495882321529379,1,minor,descending,-1,cccc,sioux
sioux017,0.853335180082108,0.564631778386379,0.0122501358743016,101.573249088833,0.190408073899535,300.505263625687,19,0.631242944342275,5.10967378936916,7,1.21818181818182,1.81241509728,5,0.489017861469477,1.9375,4,2,0.486106594373253,0.218181818181818,0.163636363636364,0.163636363636364,56,19.25,2.90909090909091,0.75412339240344,1.00330199755563,0.176461730552414,1.2895171957672,2.4656617226194,0.333333333333333,5.63693049350989,-0.938844616452756,0.431034482758621,minor,descending,-1,accc,sioux
sioux018,0.85795717846999,0.669742418706613,0.0108024219788926,81.3981632906693,0.105472050299637,267.365948246712,12,0.530960518306556,3.68438063091806,5,0.823529411764706,1.39579199529072,4,0.344890244818076,0.9375,5,4,0.567437899153569,0.235294117647059,0.254901960784314,0.254901960784314,52,22.75,2.28571428571429,0.811056981665519,1.17915365129999,0.175724161796712,0.523484731150753,0.939921519828579,0,3.78048602590654,-0.943684100308368,0.461538461538462,minor,descending,-1,cccc,sioux
sioux019,0.659657267858204,0.0485199702574139,0.0204716917946063,192.393354040119,0.343078149920255,374.528599442614,17,0.549114665255784,4.41681339737828,12,1.58048780487805,2.23598242567753,7,0.606280011176504,1.875,6,3,0.511803377078639,0.273170731707317,0.448780487804878,0.0341463414634146,206,101,2.03960396039604,0.773289774862035,1.19992373487726,0.235891204233597,0.97029702970297,2.42002254530148,0.428571428571429,4.4201600792336,-0.152600619881695,3.76470588235294,major,descending,-1,cccc,sioux
sioux020,0.875643353232075,0.632987087827508,0.0157852160572374,143.611743917471,0.125877006197362,279.490662625694,20,0.635425719796011,6.47716955854917,7,1.68,2.01464029300619,4,0.506621246058587,0.9167,3,2,0.520893429276187,0.34,0.26,0.08,51,13.25,3.84905660377359,0.820040063958935,1.00342202187137,0.198332241085568,3.13286107831562,3.75306973296263,0.363636363636364,6.47633053069847,-0.880099467704718,1.14285714285714,minor,descending,-1,bdbb,sioux
sioux021,0.815139549455837,0.526890920201537,0.0235156462577935,212.179234593268,0.110247491638796,275.625810271285,16,0.645423787043822,4.81593874475849,5,1.11111111111111,1.5254651832006,5,0.507492278665424,2.875,4,3,0.476043821299168,0.37037037037037,0.0740740740740741,0.0740740740740741,55,52.5,1.04761904761905,0.71350499991688,1.14131098288084,0.193373391484922,0.914285714285714,1.60073532746486,0.583333333333333,4.93152304233719,-0.928423110081194,0.514285714285714,minor,descending,-1,cccc,sioux
